Username,EnterpriseID,StatusPernikahan,JenisKelamin,StatusKepegawaian,Pekerjaan,JenjangKarir,PerformancePegawai,AsalDaerah,HiringPlatform,SkorSurveyEngagement,SkorKepuasanPegawai,JumlahKeikutsertaanProjek,JumlahKeterlambatanSebulanTerakhir,JumlahKetidakhadiran,NomorHP,Email,TingkatPendidikan,PernahBekerja,IkutProgramLOP,AlasanResign,TanggalLahir,TanggalHiring,TanggalPenilaianKaryawan,TanggalResign
spiritedPorpoise3,111065,Belum_menikah,Pria,Outsource,Software Engineer (Back End),Freshgraduate_program,Sangat_bagus,Jakarta Timur,Employee_Referral,4,4,0,0,9,+6282232522xxx,spiritedPorpoise3135@yahoo.com,Magister,1,1,masih_bekerja,01/07/1972,10/01/2011,15/02/2016,-
jealousGelding2,106080,Belum_menikah,Pria,FullTime,Data Analyst,Freshgraduate_program,Sangat_kurang,Jakarta Utara,Website,4,4,4,0,3,+6281270745xxx,jealousGelding2239@yahoo.com,Sarjana,1,1,toxic_culture,26/04/1984,06/01/2014,17/01/2020,16/06/2018
pluckyMuesli3,106452,Menikah,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Timur,Indeed,4,3,0,0,11,+6281346215xxx,pluckyMuesli3961@icloud.com,Magister,1,1,jam_kerja,07/01/1974,10/01/2011,10/01/2016,24/09/2014
stressedTruffle1,106325,Belum_menikah,Pria,Outsource,Software Engineer (Front End),Freshgraduate_program,Bagus,Jakarta Pusat,LinkedIn,3,3,0,4,6,+6283233846xxx,stressedTruffle1406@hotmail.com,Sarjana,1,0,masih_bekerja,24/11/1979,17/02/2014,04/02/2020,-
shyTermite7,111171,Belum_menikah,Wanita,FullTime,Product Manager,Freshgraduate_program,Bagus,Jakarta Timur,LinkedIn,3,3,0,0,11,+6287883263xxx,shyTermite7149@gmail.com,Sarjana,1,0,ganti_karir,07/11/1974,11/11/2013,22/01/2020,06/09/2018
emptyMacaw4,106419,Belum_menikah,Wanita,Outsource,Software Engineer (Front End),Senior_level,Biasa,Jakarta Selatan,Indeed,3,4,6,0,10,+6283886053xxx,emptyMacaw4468@yahoo.com,Sarjana,1,0,masih_bekerja,12/05/1980,02/10/2016,06/02/2020,-
madZebra1,100309,Menikah,Wanita,FullTime,Data Analyst,Freshgraduate_program,Biasa,Jakarta Utara,LinkedIn,2,3,4,0,19,+6285735701xxx,madZebra1244@icloud.com,Sarjana,1,,masih_bekerja,24/05/1979,10/11/2014,02/01/2020,-
cynicalMandrill7,110500,Belum_menikah,Pria,FullTime,Software Engineer (Back End),Senior_level,Kurang,Jakarta Selatan,LinkedIn,2,5,0,0,4,+6281293511xxx,cynicalMandrill7920@hotmail.com,Magister,1,,masih_bekerja,24/08/1983,08/07/2013,14/01/2020,-
lyingMussel8,110533,Bercerai,Pria,FullTime,Software Engineer (Android),Senior_level,Sangat_kurang,Jakarta Selatan,Employee_Referral,3,,0,0,5,+6281276485xxx,lyingMussel8944@proton.com,Magister,1,,masih_bekerja,26/08/1980,06/07/2016,28/02/2020,-
enviousMoth4,110927,Menikah,Wanita,FullTime,Software Engineer (Android),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Indeed,4,5,6,0,4,+6281391211xxx,enviousMoth4516@yahoo.com,Sarjana,1,,masih_bekerja,21/02/1984,30/03/2015,03/01/2020,-
puzzledCake4,105548,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Mid_level,Kurang,Jakarta Timur,CareerBuilder,3,2,0,3,3,+6281263218xxx,puzzledCake4844@icloud.com,Sarjana,1,1,ganti_karir,17/12/1975,20/07/2010,14/01/2020,12/01/2019
grizzledSnipe7,111354,Bercerai,Wanita,FullTime,Software Engineer (Back End),Senior_level,Sangat_bagus,Jakarta Barat,CareerBuilder,1,5,0,5,2,+6289987666xxx,grizzledSnipe7992@outlook.com,Magister,1,,tidak_bahagia,18/07/1989,05/07/2011,06/02/2016,19/09/2018
yearningBagels0,100895,Menikah,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Pusat,LinkedIn,4,3,0,0,50,+6287794061xxx,yearningBagels0311@outlook.com,Magister,1,,masih_bekerja,10/08/1988,11/11/2013,08/01/2020,-
sheepishSheep9,110783,Menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Selatan,LinkedIn,3,4,0,0,12,+6282234433xxx,sheepishSheep9611@outlook.com,Sarjana,1,,masih_bekerja,02/12/1983,16/05/2011,26/02/2020,-
madWildfowl7,105507,Menikah,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Selatan,Indeed,3,4,0,0,3,+6281965329xxx,madWildfowl7630@gmail.com,Sarjana,1,,ganti_karir,27/08/1983,27/06/2011,10/03/2016,06/04/2019
enviousSalami4,106710,Belum_menikah,Wanita,FullTime,Software Engineer (Front End),Senior_level,Sangat_kurang,Jakarta Utara,LinkedIn,3,3,0,0,,+6285856642xxx,enviousSalami4948@hotmail.com,Doktor,1,,toxic_culture,15/03/1985,10/01/2011,05/01/2015,04/08/2019
pacifiedRaisins7,101236,Menikah,Pria,FullTime,Product Manager,Freshgraduate_program,Bagus,Jakarta Pusat,Diversity_Job_Fair,3,4,0,0,12,+6289563833xxx,pacifiedRaisins7330@outlook.com,Sarjana,1,,masih_bekerja,03/12/1976,09/01/2012,31/01/2020,-
wrathfulMagpie6,105985,Belum_menikah,Wanita,FullTime,Software Engineer (Android),Freshgraduate_program,Sangat_bagus,Jakarta Barat,LinkedIn,3,4,0,0,11,+6285998643xxx,wrathfulMagpie6981@gmail.com,Sarjana,1,,masih_bekerja,06/11/1986,05/07/2011,25/02/2020,-
hushedSeahorse7,111202,Bercerai,Wanita,FullTime,Data Analyst,Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Diversity_Job_Fair,3,4,0,0,17,+6281212698xxx,hushedSeahorse7404@icloud.com,Sarjana,1,1,internal_conflict,30/05/1968,02/04/2012,05/02/2017,12/09/2017
guiltyMoth4,100621,Lainnya,Pria,FullTime,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Utara,Indeed,1,2,0,4,9,+6289723429xxx,guiltyMoth4337@icloud.com,Sarjana,1,,masih_bekerja,19/04/1967,07/07/2014,31/01/2020,-
peacefulCoati5,100301,Menikah,Wanita,FullTime,Product Manager,Senior_level,Sangat_bagus,Jakarta Utara,LinkedIn,4,5,0,0,15,+6283355427xxx,peacefulCoati5154@yahoo.com,Sarjana,1,,masih_bekerja,22/05/1977,09/01/2012,07/01/2020,-
dejectedPolenta7,101120,Lainnya,Wanita,FullTime,Scrum Master,Mid_level,Sangat_kurang,Jakarta Barat,Indeed,3,4,,0,,+6285591576xxx,dejectedPolenta7016@proton.com,Sarjana,1,,masih_bekerja,26/03/1981,05/07/2011,02/03/2019,-
needfulLeopard2,101124,Menikah,Pria,Outsource,Product Design (UX Researcher),Freshgraduate_program,Bagus,Jakarta Selatan,LinkedIn,3,3,0,0,7,+6285777032xxx,needfulLeopard2944@gmail.com,Magister,1,,masih_bekerja,19/03/1979,08/07/2013,18/02/2020,-
offendedIguana0,110788,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Pusat,LinkedIn,3,3,0,0,19,+6289531301xxx,offendedIguana0059@yahoo.com,Doktor,1,,masih_bekerja,01/10/1990,30/03/2015,16/01/2020,-
pluckyHoopoe3,105394,Bercerai,Wanita,Outsource,Product Design (UI & UX),Freshgraduate_program,Bagus,Jakarta Timur,CareerBuilder,1,3,0,2,3,+6281251580xxx,pluckyHoopoe3654@yahoo.com,Sarjana,1,,ganti_karir,21/09/1990,04/04/2011,27/02/2020,04/04/2016
needySyrup4,101226,Bercerai,Pria,FullTime,Product Manager,Freshgraduate_program,Biasa,Jakarta Pusat,Diversity_Job_Fair,2,,6,4,13,+6283112696xxx,needySyrup4506@hotmail.com,Magister,1,,ganti_karir,05/10/1986,15/02/2012,22/02/2020,19/02/2018
forsakenOwl1,105911,Belum_menikah,Wanita,FullTime,Software Engineer (Back End),Freshgraduate_program,Bagus,Jakarta Barat,CareerBuilder,4,3,0,0,15,+6283851827xxx,forsakenOwl1469@outlook.com,Magister,1,,masih_bekerja,27/08/1972,10/01/2011,30/01/2014,-
pluckyApples4,110566,Menikah,Wanita,FullTime,Software Engineer (Front End),Senior_level,Biasa,Jakarta Selatan,LinkedIn,3,5,0,0,15,+6281988935xxx,pluckyApples4880@icloud.com,Sarjana,1,,Product Design (UI & UX),10/04/1987,06/07/2016,28/01/2020,07/08/2016
guiltySnail8,106577,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Kurang,Jakarta Selatan,Employee_Referral,3,3,0,0,16,+6281228852xxx,guiltySnail8568@outlook.com,Sarjana,1,,ganti_karir,02/02/1965,11/11/2013,24/01/2020,15/06/2015
grizzledFlamingo9,106473,Menikah,Wanita,FullTime,Software Engineer (Back End),Mid_level,Biasa,Jakarta Utara,LinkedIn,4,3,7,0,,+6289673952xxx,grizzledFlamingo9139@proton.com,Doktor,1,,masih_bekerja,27/05/1973,05/01/2015,13/02/2019,-
worriedSyrup7,100603,Menikah,Pria,FullTime,Software Engineer (Android),Freshgraduate_program,Kurang,Jakarta Timur,Indeed,4,4,0,0,14,+6281989141xxx,worriedSyrup7917@yahoo.com,Sarjana,1,,masih_bekerja,31/10/1977,16/05/2011,02/04/2017,-
somberBoars0,106411,Bercerai,Pria,Outsource,Software Engineer (Front End),Mid_level,Bagus,Jakarta Barat,Diversity_Job_Fair,3,4,0,0,4,+6281307483xxx,somberBoars0230@proton.com,Magister,1,,masih_bekerja,06/11/1984,21/02/2011,19/04/2015,-
giddyMallard9,100730,Belum_menikah,Pria,FullTime,Software Engineer (Android),Mid_level,Kurang,Jakarta Pusat,Indeed,1,5,0,6,15,+6283300431xxx,giddyMallard9195@icloud.com,Magister,1,,ganti_karir,18/10/1989,11/05/2015,03/01/2020,02/08/2016
madFerret4,106540,Belum_menikah,Wanita,Outsource,Software Engineer (Front End),Freshgraduate_program,Biasa,Jakarta Pusat,LinkedIn,3,3,6,0,7,+6281222388xxx,madFerret4760@hotmail.com,Magister,1,,masih_bekerja,14/04/1981,30/09/2014,07/01/2020,-
mereCaribou1,106529,Belum_menikah,Wanita,Outsource,Software Engineer (Back End),Freshgraduate_program,Biasa,Jakarta Utara,LinkedIn,3,3,0,0,2,+6282206634xxx,mereCaribou1593@gmail.com,Sarjana,1,,masih_bekerja,10/07/1988,29/09/2014,18/02/2020,-
decimalAbalone6,110848,Menikah,Wanita,FullTime,Software Engineer (Back End),Mid_level,Biasa,Jakarta Pusat,LinkedIn,3,3,0,0,20,+6283327274xxx,decimalAbalone6779@outlook.com,Magister,1,,masih_bekerja,25/05/1986,12/05/2014,07/02/2020,-
blissfulMussel3,105437,Belum_menikah,Wanita,FullTime,Software Engineer (Front End),Mid_level,Bagus,Jakarta Timur,Google_Search,2,5,0,1,19,+6289998200xxx,blissfulMussel3985@outlook.com,Sarjana,1,,masih_bekerja,01/06/1964,15/08/2011,10/02/2014,-
ardentLapwing0,110342,Belum_menikah,Pria,FullTime,Product Manager,Freshgraduate_program,Bagus,Jakarta Barat,Google_Search,3,4,0,0,7,+6289811806xxx,ardentLapwing0588@gmail.com,Sarjana,1,,masih_bekerja,20/07/1983,20/02/2012,14/02/2020,-
peskyTeal7,110552,Belum_menikah,Pria,FullTime,Software Engineer (Front End),Freshgraduate_program,Sangat_bagus,Jakarta Pusat,Indeed,2,5,0,0,15,+6289729171xxx,peskyTeal7261@icloud.com,Sarjana,1,,masih_bekerja,19/03/1983,05/01/2009,04/02/2020,-
blissfulHyena1,111140,Bercerai,Wanita,FullTime,Digital Product Manager,Freshgraduate_program,Bagus,Jakarta Timur,Indeed,3,4,0,0,19,+6289713466xxx,blissfulHyena1934@hotmail.com,Sarjana,1,,masih_bekerja,28/03/1982,19/08/2013,12/02/2020,-
